ATM Name,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence,Day,Month,Year,Rainfall_Status
Mount Road ATM,644900,MONDAY,NH,W,HWW,7,3,2011,No Rain
Airport ATM,409800,MONDAY,NH,W,HWW,7,3,2011,No Rain
KK Nagar ATM,667100,MONDAY,NH,W,HWW,7,3,2011,No Rain
Christ College ATM,231800,MONDAY,NH,W,HWW,7,3,2011,No Rain
Big Street ATM,134400,TUESDAY,NH,W,WWW,8,3,2011,No Rain
Mount Road ATM,950400,TUESDAY,NH,W,WWW,8,3,2011,No Rain
Airport ATM,670700,TUESDAY,NH,W,WWW,8,3,2011,No Rain
KK Nagar ATM,813100,TUESDAY,NH,W,WWW,8,3,2011,No Rain
Christ College ATM,323000,TUESDAY,NH,W,WWW,8,3,2011,No Rain
Big Street ATM,173100,WEDNESDAY,NH,W,WWW,9,3,2011,No Rain
Mount Road ATM,620900,WEDNESDAY,NH,W,WWW,9,3,2011,No Rain
Airport ATM,641900,WEDNESDAY,NH,W,WWW,9,3,2011,No Rain
KK Nagar ATM,1375800,WEDNESDAY,NH,W,WWW,9,3,2011,No Rain
Christ College ATM,450700,WEDNESDAY,NH,W,WWW,9,3,2011,No Rain
Big Street ATM,127600,THURSDAY,NH,W,WWW,10,3,2011,No Rain
